symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
GOOGL,Google,stocks,15m,15,2.0,0.02,54,0.2222222222222222,0.44139850906680356,-25.581898374511784,-2828.7691975341913,-2558.1898374511793
AMZN,Amazon,stocks,15m,15,2.0,0.02,52,0.3269230769230769,0.8222951422881277,-6.854879871337853,-1051.947250659178,-685.4879871337814
TSLA,Tesla,stocks,15m,15,2.0,0.02,61,0.22950819672131148,0.5164298460701984,-29.936970861327573,-3057.959666894484,-2993.697086132757
SPY,S&P 500 ETF,stocks,15m,15,2.0,0.02,66,0.3484848484848485,1.0485342005471858,0.5653509492192097,-353.7519800781106,56.53509492190756
QQQ,Nasdaq ETF,stocks,15m,15,2.0,0.02,56,0.4107142857142857,1.3399410912943925,4.964921998047012,-300.3178630859279,496.4921998047164
MNQ=F,Micro Nasdaq,futures,15m,15,1.0,0.01,49,0.673469387755102,1.709931591424673,13.809966999999634,-406.75040000000445,1380.9966999999633
NQ=F,Nasdaq Futures,futures,15m,15,1.0,0.01,46,0.6521739130434783,1.676183988787431,13.139966999999633,-406.50040000000445,1313.9966999999633
EURUSD=X,EUR/USD,forex,15m,15,1.0,0.01,74,0.6081081081081081,1.112192697467093,0.48885797363289385,-121.93061119193524,48.885797363284766
GC=F,Gold,commodities,15m,15,1.0,0.01,46,0.6739130434782609,2.2164173386956043,3.7539321406248742,-79.40052578125324,375.39321406248746
GLD,Gold ETF,commodities,15m,15,1.0,0.01,63,0.6825396825396826,1.9358305972799905,6.351531143066677,-161.3644917968636,635.1531143066693
AAPL,Apple,stocks,15m,15,1.0,0.01,66,0.3484848484848485,0.5714606732273004,-13.53893110009769,-1588.929036450204,-1353.8931100097668
MSFT,Microsoft,stocks,15m,15,1.0,0.01,58,0.3793103448275862,0.5826275903793744,-10.123510025390296,-973.1465630859044,-1012.3510025390273
GOOGL,Google,stocks,15m,15,1.0,0.01,58,0.39655172413793105,0.6429850310402085,-10.949959130371099,-1663.5597641601598,-1094.9959130371142
AMZN,Amazon,stocks,15m,15,1.0,0.01,54,0.4444444444444444,0.7249723522298103,-6.971530514648439,-850.592962353516,-697.1530514648441
TSLA,Tesla,stocks,15m,15,1.0,0.01,61,0.4098360655737705,0.6488074484698831,-11.210804897948929,-1519.3435209472432,-1121.080489794891
SPY,S&P 500 ETF,stocks,15m,15,1.0,0.01,70,0.5571428571428572,1.1285056742446589,1.1290534033206314,-279.3199175781151,112.90534033205472
QQQ,Nasdaq ETF,stocks,15m,15,1.0,0.01,64,0.578125,1.286626827198233,3.4195422050782325,-241.11192001952713,341.95422050783554
MNQ=F,Micro Nasdaq,futures,15m,15,1.0,0.02,49,0.673469387755102,1.709931591424673,13.809966999999634,-406.75040000000445,1380.9966999999633
NQ=F,Nasdaq Futures,futures,15m,15,1.0,0.02,46,0.6521739130434783,1.676183988787431,13.139966999999633,-406.50040000000445,1313.9966999999633
EURUSD=X,EUR/USD,forex,15m,15,1.0,0.02,74,0.6081081081081081,1.112192697467093,0.48885797363289385,-121.93061119193524,48.885797363284766
GC=F,Gold,commodities,15m,15,1.0,0.02,46,0.6739130434782609,2.2164173386956043,3.7539321406248742,-79.40052578125324,375.39321406248746
