datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-10-31 13:35:00,MSFT,410.19,414.4,409.92,410.37,2305746.0,411.7075,46498
2024-10-31 13:40:00,MSFT,410.33,411.4823,409.6165,411.21,1288157.0,410.4493,28617
2024-10-31 13:45:00,MSFT,411.18,411.205,408.68,409.06,1235059.0,409.9169,30533
2024-10-31 13:50:00,MSFT,409.14,410.65,408.8553,410.46,831070.0,409.8313,19134
2024-10-31 13:55:00,MSFT,410.435,411.25,410.22,410.83,836044.0,410.7521,17089
2024-10-31 14:00:00,MSFT,410.82,412.22,410.25,412.145,740914.0,411.3705,16801
2024-10-31 14:05:00,MSFT,412.15,412.28,410.14,410.415,657257.0,411.4556,18054
2024-10-31 14:10:00,MSFT,410.42,410.82,409.97,409.9935,614426.0,410.2319,16076
2024-10-31 14:15:00,MSFT,409.99,410.94,409.25,410.79,755256.0,410.0289,15658
2024-10-31 14:20:00,MSFT,410.77,410.8,408.4175,408.6,774568.0,409.4883,21921
2024-10-31 14:25:00,MSFT,408.61,408.63,407.38,407.74,966458.0,407.8872,26894
2024-10-31 14:30:00,MSFT,407.69,407.99,406.71,406.97,756551.0,407.3535,21016
2024-10-31 14:35:00,MSFT,406.975,407.41,406.86,407.21,595268.0,407.1305,14257
2024-10-31 14:40:00,MSFT,407.26,407.7,407.1,407.595,520011.0,407.4665,13438
2024-10-31 14:45:00,MSFT,407.595,407.7,406.51,406.71,548201.0,406.9966,15498
2024-10-31 14:50:00,MSFT,406.74,407.28,406.3,407.1598,501169.0,406.6993,12984
2024-10-31 14:55:00,MSFT,407.15,407.97,407.12,407.67,468249.0,407.4812,13342
2024-10-31 15:00:00,MSFT,407.71,408.52,407.5,408.0595,521602.0,408.1437,15358
2024-10-31 15:05:00,MSFT,408.01,409.15,407.55,408.195,429442.0,408.2231,13881
2024-10-31 15:10:00,MSFT,408.195,408.3399,406.77,406.875,459998.0,407.4534,16386
2024-10-31 15:15:00,MSFT,406.89,407.36,406.55,406.81,490019.0,406.8755,15403
2024-10-31 15:20:00,MSFT,406.86,408.18,406.8,407.93,501032.0,407.5996,14326
2024-10-31 15:25:00,MSFT,407.925,408.39,407.6,407.93,312045.0,407.9457,11701
2024-10-31 15:30:00,MSFT,407.93,408.29,407.2,407.275,338757.0,407.7988,12387
2024-10-31 15:35:00,MSFT,407.2516,407.61,406.96,407.1101,385541.0,407.1766,12214
2024-10-31 15:40:00,MSFT,407.13,407.97,406.89,407.73,322462.0,407.2535,11096
