Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2025-09-17 06:45:00-04:00,325.4,325.5,325.0,325.2,0,0.0,0.0,0.0,VTI
2025-09-17 07:00:00-04:00,325.38,325.4,325.25,325.35,0,0.0,0.0,0.0,VTI
2025-09-17 07:15:00-04:00,325.35,325.4,325.35,325.36,0,0.0,0.0,0.0,VTI
2025-09-17 07:30:00-04:00,325.35,325.45,325.35,325.43,0,0.0,0.0,0.0,VTI
2025-09-17 07:45:00-04:00,325.49,325.5,325.48,325.48,0,0.0,0.0,0.0,VTI
2025-09-17 08:00:00-04:00,329.2188,329.2188,321.6012,325.25,0,0.0,0.0,0.0,VTI
2025-09-17 08:15:00-04:00,325.5,325.58,325.25,325.5,0,0.0,0.0,0.0,VTI
2025-09-17 08:30:00-04:00,325.58,325.58,325.25,325.58,0,0.0,0.0,0.0,VTI
2025-09-17 08:45:00-04:00,325.55,325.58,325.32,325.44,0,0.0,0.0,0.0,VTI
2025-09-17 09:00:00-04:00,325.61,325.65,325.43,325.43,0,0.0,0.0,0.0,VTI
2025-09-17 09:30:00-04:00,325.6600036621094,325.9100036621094,325.5899963378906,325.635009765625,322989,0.0,0.0,0.0,VTI
2025-09-17 09:45:00-04:00,325.6300048828125,326.04998779296875,325.5199890136719,325.7099914550781,182139,0.0,0.0,0.0,VTI
2025-09-17 10:00:00-04:00,325.760009765625,325.7900085449219,325.42999267578125,325.510009765625,167100,0.0,0.0,0.0,VTI
2025-09-17 10:15:00-04:00,325.510009765625,325.55999755859375,325.3299865722656,325.3500061035156,159822,0.0,0.0,0.0,VTI
2025-09-17 10:30:00-04:00,325.3599853515625,325.510009765625,325.29998779296875,325.3900146484375,154466,0.0,0.0,0.0,VTI
2025-09-17 10:45:00-04:00,325.40960693359375,325.5899963378906,325.31500244140625,325.4700012207031,74464,0.0,0.0,0.0,VTI
2025-09-17 11:00:00-04:00,325.4700012207031,325.5862121582031,325.29998779296875,325.5672912597656,74356,0.0,0.0,0.0,VTI
2025-09-17 11:15:00-04:00,325.57000732421875,325.6400146484375,325.2099914550781,325.2244873046875,107944,0.0,0.0,0.0,VTI
2025-09-17 11:30:00-04:00,325.2300109863281,325.43499755859375,325.2099914550781,325.4200134277344,66646,0.0,0.0,0.0,VTI
2025-09-17 11:45:00-04:00,325.42999267578125,325.4750061035156,325.260009765625,325.43450927734375,85597,0.0,0.0,0.0,VTI
2025-09-17 12:00:00-04:00,325.45001220703125,325.4599914550781,325.2099914550781,325.239990234375,91356,0.0,0.0,0.0,VTI
2025-09-17 12:15:00-04:00,325.2261962890625,325.2900085449219,325.1300048828125,325.22900390625,75216,0.0,0.0,0.0,VTI
2025-09-17 12:30:00-04:00,325.2250061035156,325.2550048828125,324.8450012207031,325.0793151855469,95187,0.0,0.0,0.0,VTI
2025-09-17 12:45:00-04:00,324.989990234375,325.0350036621094,324.8399963378906,324.8999938964844,81164,0.0,0.0,0.0,VTI
2025-09-17 13:00:00-04:00,324.885009765625,325.1300048828125,324.885009765625,325.0249938964844,68970,0.0,0.0,0.0,VTI
2025-09-17 13:15:00-04:00,325.0299987792969,325.0799865722656,324.9100036621094,325.06500244140625,53046,0.0,0.0,0.0,VTI
2025-09-17 13:30:00-04:00,325.0899963378906,325.3099060058594,325.0801086425781,325.1400146484375,85507,0.0,0.0,0.0,VTI
2025-09-17 13:45:00-04:00,325.1499938964844,325.5299987792969,325.0950012207031,325.5119934082031,103791,0.0,0.0,0.0,VTI
2025-09-17 14:00:00-04:00,325.6700134277344,326.9049987792969,324.8500061035156,324.8500061035156,196559,0.0,0.0,0.0,VTI
2025-09-17 14:15:00-04:00,324.75,326.1600036621094,324.44000244140625,326.1600036621094,116101,0.0,0.0,0.0,VTI
