Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-07-17 17:00:00-04:00,557.0,557.0,552.0,557.0,0,0.0,0.0,MA
2025-07-17 18:00:00-04:00,555.22,557.0,552.0,555.14,0,0.0,0.0,MA
2025-07-17 19:00:00-04:00,555.14,557.0,552.0,555.39,0,0.0,0.0,MA
2025-07-18 04:00:00-04:00,555.82,555.82,554.38,555.39,0,0.0,0.0,MA
2025-07-18 05:00:00-04:00,555.44,555.64,555.28,555.6,0,0.0,0.0,MA
2025-07-18 06:00:00-04:00,555.8,556.06,555.65,556.06,0,0.0,0.0,MA
2025-07-18 07:00:00-04:00,555.6,556.01,555.0,555.63,0,0.0,0.0,MA
2025-07-18 08:00:00-04:00,555.6,564.1888,554.96,556.0,0,0.0,0.0,MA
2025-07-18 09:00:00-04:00,555.0,560.0,555.0,556.25,0,0.0,0.0,MA
2025-07-18 09:30:00-04:00,555.260009765625,556.3499755859375,550.8800048828125,553.1820068359375,669751,0.0,0.0,MA
2025-07-18 10:30:00-04:00,553.1599731445312,553.6300048828125,551.7899780273438,552.2000122070312,248969,0.0,0.0,MA
2025-07-18 11:30:00-04:00,552.3099975585938,552.780029296875,551.0499877929688,551.4000244140625,261491,0.0,0.0,MA
2025-07-18 12:30:00-04:00,551.3400268554688,552.9000244140625,551.1099853515625,552.6099853515625,108780,0.0,0.0,MA
2025-07-18 13:30:00-04:00,552.739990234375,553.27001953125,551.5999755859375,551.6849975585938,129627,0.0,0.0,MA
2025-07-18 14:30:00-04:00,551.6849975585938,552.3150024414062,551.1699829101562,551.8499755859375,191363,0.0,0.0,MA
2025-07-18 15:30:00-04:00,551.8599853515625,553.15869140625,551.5499877929688,552.4299926757812,331131,0.0,0.0,MA
2025-07-18 16:00:00-04:00,551.94,554.9415,551.92,552.8,0,0.0,0.0,MA
2025-07-18 17:00:00-04:00,554.94,554.94,552.7,552.85,0,0.0,0.0,MA
2025-07-18 18:00:00-04:00,554.8852,554.8852,552.75,553.19,0,0.0,0.0,MA
2025-07-18 19:00:00-04:00,553.41,553.7643,553.41,553.41,0,0.0,0.0,MA
2025-07-21 04:00:00-04:00,551.03,553.4,551.03,553.35,0,0.0,0.0,MA
2025-07-21 05:00:00-04:00,553.33,553.33,552.66,553.1,0,0.0,0.0,MA
2025-07-21 06:00:00-04:00,552.91,553.18,552.32,553.18,0,0.0,0.0,MA
2025-07-21 07:00:00-04:00,552.73,553.16,551.99,552.01,0,0.0,0.0,MA
2025-07-21 08:00:00-04:00,552.2,559.0827,550.0012,552.47,0,0.0,0.0,MA
2025-07-21 09:00:00-04:00,552.56,552.66,551.35,552.66,0,0.0,0.0,MA
2025-07-21 09:30:00-04:00,553.4000244140625,558.0,552.0399780273438,557.7899780273438,375822,0.0,0.0,MA
2025-07-21 10:30:00-04:00,557.6799926757812,557.7999877929688,555.5750122070312,556.239990234375,235909,0.0,0.0,MA
2025-07-21 11:30:00-04:00,556.5800170898438,557.7838134765625,555.7999877929688,556.4400024414062,243618,0.0,0.0,MA
2025-07-21 12:30:00-04:00,556.3099975585938,557.27001953125,555.969970703125,556.4201049804688,107781,0.0,0.0,MA
2025-07-21 13:30:00-04:00,556.8599243164062,558.0800170898438,556.2000122070312,557.1500244140625,179040,0.0,0.0,MA
2025-07-21 14:30:00-04:00,557.44970703125,557.5800170898438,555.2249755859375,555.47998046875,206883,0.0,0.0,MA
2025-07-21 15:30:00-04:00,555.4099731445312,555.7449951171875,554.47998046875,554.719970703125,286553,0.0,0.0,MA
2025-07-21 16:00:00-04:00,554.65,556.4152,552.0,555.39,0,0.0,0.0,MA
2025-07-21 17:00:00-04:00,552.0,555.98,552.0,555.4,0,0.0,0.0,MA
2025-07-21 18:00:00-04:00,555.29,555.4,555.13,555.3,0,0.0,0.0,MA
2025-07-21 19:00:00-04:00,559.29,559.29,554.7587,554.76,0,0.0,0.0,MA
2025-07-22 04:00:00-04:00,555.76,556.27,554.83,555.3,0,0.0,0.0,MA
2025-07-22 05:00:00-04:00,555.3,555.3,552.51,554.46,0,0.0,0.0,MA
2025-07-22 06:00:00-04:00,554.51,554.53,554.44,554.53,0,0.0,0.0,MA
2025-07-22 07:00:00-04:00,554.53,554.96,554.53,554.93,0,0.0,0.0,MA
2025-07-22 08:00:00-04:00,554.65,561.6588,552.5,556.16,0,0.0,0.0,MA
2025-07-22 09:00:00-04:00,556.13,559.29,554.65,555.73,0,0.0,0.0,MA
2025-07-22 09:30:00-04:00,556.25,560.2069702148438,555.239990234375,559.0999755859375,482678,0.0,0.0,MA
2025-07-22 10:30:00-04:00,558.9299926757812,559.6300048828125,557.4600219726562,557.4600219726562,200155,0.0,0.0,MA
2025-07-22 11:30:00-04:00,557.1699829101562,557.3350219726562,555.3699951171875,556.77001953125,159898,0.0,0.0,MA
2025-07-22 12:30:00-04:00,556.989990234375,558.9099731445312,556.7349853515625,558.5850219726562,184167,0.0,0.0,MA
2025-07-22 13:30:00-04:00,558.6900024414062,559.0,557.239990234375,557.64501953125,143728,0.0,0.0,MA
2025-07-22 14:30:00-04:00,557.64501953125,558.6699829101562,557.5056762695312,558.0650024414062,191845,0.0,0.0,MA
2025-07-22 15:30:00-04:00,558.010009765625,559.1599731445312,557.4650268554688,558.635009765625,217515,0.0,0.0,MA
2025-07-22 16:00:00-04:00,558.76,560.0988,554.0,558.55,0,0.0,0.0,MA
2025-07-22 17:00:00-04:00,558.55,558.76,555.0,558.52,0,0.0,0.0,MA
2025-07-22 18:00:00-04:00,558.5,558.83,558.0,558.83,0,0.0,0.0,MA
2025-07-22 19:00:00-04:00,558.74,560.0,558.74,559.62,0,0.0,0.0,MA
2025-07-23 04:00:00-04:00,560.0,560.17,559.53,560.17,0,0.0,0.0,MA
2025-07-23 05:00:00-04:00,560.0,560.55,559.1,560.12,0,0.0,0.0,MA
2025-07-23 06:00:00-04:00,560.12,560.4,560.0,560.4,0,0.0,0.0,MA
2025-07-23 07:00:00-04:00,560.4,560.75,559.99,560.04,0,0.0,0.0,MA
2025-07-23 08:00:00-04:00,560.43,561.9988,558.5,560.12,0,0.0,0.0,MA
2025-07-23 09:00:00-04:00,559.65,561.09,558.76,559.0,0,0.0,0.0,MA
2025-07-23 09:30:00-04:00,557.5499877929688,558.6099853515625,554.5,557.3400268554688,401977,0.0,0.0,MA
2025-07-23 10:30:00-04:00,557.530029296875,559.0,556.7899780273438,558.375,199713,0.0,0.0,MA
2025-07-23 11:30:00-04:00,558.469970703125,560.2000122070312,557.1400146484375,559.1199951171875,232505,0.0,0.0,MA
2025-07-23 12:30:00-04:00,558.9349975585938,561.2249755859375,558.9349975585938,560.6199951171875,165993,0.0,0.0,MA
2025-07-23 13:30:00-04:00,560.8900146484375,562.4799194335938,560.4500732421875,561.0150146484375,200778,0.0,0.0,MA
2025-07-23 14:30:00-04:00,560.8599853515625,561.8200073242188,560.386474609375,561.3499755859375,198365,0.0,0.0,MA
2025-07-23 15:30:00-04:00,561.4000244140625,562.4500122070312,561.1699829101562,562.4500122070312,321524,0.0,0.0,MA
2025-07-23 16:00:00-04:00,562.48,563.0,560.515,562.09,0,0.0,0.0,MA
2025-07-23 17:00:00-04:00,562.98,562.98,560.8,561.97,0,0.0,0.0,MA
2025-07-23 18:00:00-04:00,561.0,561.97,560.02,560.9685,0,0.0,0.0,MA
2025-07-23 19:00:00-04:00,561.0,561.7488,560.02,560.02,0,0.0,0.0,MA
2025-07-24 04:00:00-04:00,561.44,562.0,561.39,561.75,0,0.0,0.0,MA
2025-07-24 05:00:00-04:00,561.75,561.85,560.57,561.58,0,0.0,0.0,MA
2025-07-24 06:00:00-04:00,561.58,561.84,560.65,561.75,0,0.0,0.0,MA
2025-07-24 07:00:00-04:00,561.33,561.41,561.32,561.41,0,0.0,0.0,MA
2025-07-24 08:00:00-04:00,561.41,564.9988,553.6997,561.41,0,0.0,0.0,MA
2025-07-24 09:00:00-04:00,561.2912,563.29,561.2912,561.84,0,0.0,0.0,MA
2025-07-24 09:30:00-04:00,562.0,565.7249755859375,561.89501953125,564.510009765625,288928,0.0,0.0,MA
2025-07-24 10:30:00-04:00,564.510009765625,567.5850219726562,564.094970703125,567.280029296875,170669,0.0,0.0,MA
2025-07-24 11:30:00-04:00,567.2000122070312,567.8350219726562,566.030029296875,566.4000244140625,135307,0.0,0.0,MA
2025-07-24 12:30:00-04:00,566.4581298828125,567.6400146484375,565.8800048828125,566.2249755859375,157236,0.0,0.0,MA
2025-07-24 13:30:00-04:00,566.2249755859375,566.594970703125,564.780029296875,565.47998046875,204737,0.0,0.0,MA
2025-07-24 14:30:00-04:00,565.4299926757812,566.5999145507812,564.739990234375,565.7000122070312,186979,0.0,0.0,MA
2025-07-24 15:30:00-04:00,565.8150024414062,566.3599853515625,563.25,563.8699951171875,302041,0.0,0.0,MA
2025-07-24 16:00:00-04:00,563.55,584.7823,560.1375,563.9,0,0.0,0.0,MA
2025-07-24 17:00:00-04:00,564.0,564.5,563.5,564.42,0,0.0,0.0,MA
2025-07-24 18:00:00-04:00,564.85,564.85,564.33,564.33,0,0.0,0.0,MA
2025-07-24 19:00:00-04:00,564.5,564.5,563.5,563.9,0,0.0,0.0,MA
2025-07-25 04:00:00-04:00,563.82,564.42,563.58,563.88,0,0.0,0.0,MA
2025-07-25 05:00:00-04:00,564.4,564.4,563.4,563.99,0,0.0,0.0,MA
2025-07-25 06:00:00-04:00,564.42,564.42,563.99,564.4,0,0.0,0.0,MA
2025-07-25 07:00:00-04:00,564.42,564.42,564.0,564.03,0,0.0,0.0,MA
2025-07-25 08:00:00-04:00,564.0,568.0088,562.2362,564.42,0,0.0,0.0,MA
2025-07-25 09:00:00-04:00,564.84,566.9,555.0423,560.0,0,0.0,0.0,MA
2025-07-25 09:30:00-04:00,564.3599853515625,567.2744140625,563.969970703125,567.0900268554688,312449,0.0,0.0,MA
